ID,Ten,NgayCapNhat,NgayDenHan,IsDone,ChiTiet,DoQuanTrong
0,Cho thú cưng đi khám,5/6/2022,7/6/2022,true,,4
1,Viết báo cáo,16/4/2022,18/4/2022,true,,3
2,Họp nhóm,20/6/2022,22/6/2022,true,,4
3,Dắt thú cưng đi dạo,20/4/2022,22/4/2022,true,,1
4,Cho thú cưng đi khám,3/6/2022,5/6/2022,true,,3
5,Cho thú cưng đi khám,11/5/2022,13/5/2022,true,,1
6,Dắt thú cưng đi dạo,7/6/2022,9/6/2022,true,,2
7,Viết báo cáo,5/6/2022,7/6/2022,true,,1
8,Họp nhóm,23/6/2022,25/6/2022,true,,4
9,Viết báo cáo,17/6/2022,19/6/2022,true,,1
10,Họp nhóm,15/6/2022,17/6/2022,true,,1
11,Họp nhóm,25/5/2022,27/5/2022,true,,4
12,Đi dạo,7/4/2022,9/4/2022,true,,2
13,Đi dạo,11/6/2022,13/6/2022,true,,2
14,Họp nhóm,6/5/2022,8/5/2022,true,,4
15,Đi dạo,12/5/2022,14/5/2022,true,,3
16,Cho thú cưng đi khám,23/4/2022,25/4/2022,true,,1
17,Dắt thú cưng đi dạo,22/4/2022,24/4/2022,true,,2
18,Dắt thú cưng đi dạo,20/4/2022,22/4/2022,true,,2
19,Học bài,9/4/2022,11/4/2022,true,,4
20,Cho thú cưng đi khám,5/6/2022,7/6/2022,true,,4
21,Viết báo cáo,1/4/2022,3/4/2022,true,,1
22,Học bài,11/5/2022,13/5/2022,true,,3
23,Dắt thú cưng đi dạo,2/4/2022,4/4/2022,true,,1
24,Họp nhóm,24/4/2022,26/4/2022,true,,2
25,Họp nhóm,20/6/2022,22/6/2022,true,,3
26,Dắt thú cưng đi dạo,18/4/2022,20/4/2022,true,,3
27,Học bài,15/5/2022,17/5/2022,true,,1
28,Cho thú cưng đi khám,1/5/2022,3/5/2022,true,,1
29,Đi dạo,19/4/2022,21/4/2022,true,,1
30,Cho thú cưng đi khám,15/4/2022,17/4/2022,true,,2
31,Học bài,19/4/2022,21/4/2022,true,,2
32,Dắt thú cưng đi dạo,17/5/2022,19/5/2022,true,,3
33,Dắt thú cưng đi dạo,3/4/2022,5/4/2022,true,,1
34,Dắt thú cưng đi dạo,8/4/2022,10/4/2022,true,,2
35,Cho thú cưng đi khám,20/5/2022,22/5/2022,true,,3
36,Học bài,15/5/2022,17/5/2022,true,,1
37,Học bài,9/6/2022,11/6/2022,true,,2
38,Cho thú cưng đi khám,15/6/2022,17/6/2022,true,,2
39,Dắt thú cưng đi dạo,14/5/2022,16/5/2022,true,,3
40,Đi dạo,22/4/2022,24/4/2022,true,,2
41,Học bài,4/6/2022,6/6/2022,true,,4
42,Dắt thú cưng đi dạo,9/5/2022,11/5/2022,true,,4
43,Họp nhóm,8/4/2022,10/4/2022,true,,2
44,Dắt thú cưng đi dạo,13/6/2022,15/6/2022,true,,1
45,Dắt thú cưng đi dạo,17/6/2022,19/6/2022,true,,3
46,Viết báo cáo,22/4/2022,24/4/2022,true,,1
47,Viết báo cáo,11/6/2022,13/6/2022,true,,2
48,Cho thú cưng đi khám,6/5/2022,8/5/2022,true,,3
49,Đi dạo,11/4/2022,13/4/2022,true,,4
50,Cho thú cưng đi khám,17/6/2022,19/6/2022,true,,1
51,Dắt thú cưng đi dạo,14/6/2022,16/6/2022,true,,1
52,Dắt thú cưng đi dạo,2/4/2022,4/4/2022,true,,2
53,Đi dạo,8/4/2022,10/4/2022,true,,2
54,Dắt thú cưng đi dạo,5/5/2022,7/5/2022,true,,3
55,Họp nhóm,9/6/2022,11/6/2022,true,,4
56,Dắt thú cưng đi dạo,18/6/2022,20/6/2022,true,,2
57,Dắt thú cưng đi dạo,14/4/2022,16/4/2022,true,,3
58,Cho thú cưng đi khám,18/6/2022,20/6/2022,true,,4
59,Họp nhóm,16/6/2022,18/6/2022,true,,4
60,Họp nhóm,6/4/2022,8/4/2022,true,,2
61,Đi dạo,14/5/2022,16/5/2022,true,,1
62,Đi dạo,2/5/2022,4/5/2022,true,,2
63,Cho thú cưng đi khám,25/4/2022,27/4/2022,true,,3
64,Học bài,15/4/2022,17/4/2022,true,,3
65,Viết báo cáo,20/6/2022,22/6/2022,true,,2
66,Cho thú cưng đi khám,11/5/2022,13/5/2022,true,,1
67,Cho thú cưng đi khám,16/6/2022,18/6/2022,true,,2
68,Viết báo cáo,19/4/2022,21/4/2022,true,,1
69,Cho thú cưng đi khám,7/5/2022,9/5/2022,true,,4
70,Họp nhóm,14/5/2022,16/5/2022,true,,3
71,Họp nhóm,19/5/2022,21/5/2022,true,,1
72,Đi dạo,4/6/2022,6/6/2022,true,,2
73,Viết báo cáo,8/4/2022,10/4/2022,true,,4
74,Đi dạo,15/6/2022,17/6/2022,true,,2
75,Học bài,6/5/2022,8/5/2022,true,,3
76,Đi dạo,2/6/2022,4/6/2022,true,,4
77,Học bài,2/4/2022,4/4/2022,true,,3
78,Viết báo cáo,9/4/2022,11/4/2022,true,,3
79,Cho thú cưng đi khám,19/6/2022,21/6/2022,true,,4
80,Cho thú cưng đi khám,25/6/2022,27/6/2022,true,,2
81,Học bài,25/5/2022,27/5/2022,true,,2
